Ref,Val,Package,PosX,PosY,Rot,Side
"LED97","LED_ARGB","LED_RGB_0606",232.562400,-65.938400,0.000000,top
"LED98","LED_ARGB","LED_RGB_0606",236.016800,-64.008000,0.000000,top
"LED99","LED_ARGB","LED_RGB_0606",239.725200,-64.363600,0.000000,top
"LED100","LED_ARGB","LED_RGB_0606",197.916800,-86.512400,0.000000,top
"LED101","LED_ARGB","LED_RGB_0606",201.117200,-88.849200,0.000000,top
"LED102","LED_ARGB","LED_RGB_0606",204.825600,-90.474800,0.000000,top
"LED103","LED_ARGB","LED_RGB_0606",208.737200,-90.728800,0.000000,top
"LED104","LED_ARGB","LED_RGB_0606",212.750400,-91.186000,0.000000,top
"LED105","LED_ARGB","LED_RGB_0606",216.509600,-92.100400,0.000000,top
"LED106","LED_ARGB","LED_RGB_0606",220.167200,-91.948000,0.000000,top
"LED107","LED_ARGB","LED_RGB_0606",223.316800,-89.814400,0.000000,top
"LED108","LED_ARGB","LED_RGB_0606",227.279200,-90.170000,0.000000,top
"LED109","LED_ARGB","LED_RGB_0606",197.662800,-114.808000,0.000000,top
"LED110","LED_ARGB","LED_RGB_0606",200.660000,-117.246400,0.000000,top
"LED111","LED_ARGB","LED_RGB_0606",204.317600,-116.535200,0.000000,top
"LED112","LED_ARGB","LED_RGB_0606",207.975200,-115.773200,0.000000,top
"LED113","LED_ARGB","LED_RGB_0606",211.937600,-115.214400,0.000000,top
"LED114","LED_ARGB","LED_RGB_0606",215.646000,-114.096800,0.000000,top
"LED115","LED_ARGB","LED_RGB_0606",219.659200,-113.893600,0.000000,top
"LED116","LED_ARGB","LED_RGB_0606",223.570800,-113.792000,0.000000,top
"LED117","LED_ARGB","LED_RGB_0606",227.400000,-112.900000,0.000000,top
"LED118","LED_ARGB","LED_RGB_0606",225.298000,-5.130800,0.000000,top
"LED119","LED_ARGB","LED_RGB_0606",227.838000,-7.924800,0.000000,top
"LED120","LED_ARGB","LED_RGB_0606",230.581200,-10.769600,0.000000,top
"LED121","LED_ARGB","LED_RGB_0606",232.359200,-14.274800,0.000000,top
"LED122","LED_ARGB","LED_RGB_0606",234.543600,-17.729200,0.000000,top
"LED123","LED_ARGB","LED_RGB_0606",236.423200,-21.285200,0.000000,top
"LED124","LED_ARGB","LED_RGB_0606",236.321600,-25.247600,0.000000,top
"LED125","LED_ARGB","LED_RGB_0606",237.134400,-28.752800,0.000000,top
"LED126","LED_ARGB","LED_RGB_0606",240.436400,-31.445200,0.000000,top
"LED127","LED_ARGB","LED_RGB_0606",242.316000,-34.747200,0.000000,top
"LED128","LED_ARGB","LED_RGB_0606",243.636800,-38.658800,0.000000,top
"LED129","LED_ARGB","LED_RGB_0606",244.703600,-42.367200,0.000000,top
"LED130","LED_ARGB","LED_RGB_0606",246.583200,-46.024800,0.000000,top
"LED131","LED_ARGB","LED_RGB_0606",248.767600,-48.717200,0.000000,top
"LED132","LED_ARGB","LED_RGB_0606",252.171200,-50.749200,0.000000,top
"LED133","LED_ARGB","LED_RGB_0606",255.219200,-53.136800,0.000000,top
"LED134","LED_ARGB","LED_RGB_0606",257.708400,-55.981600,0.000000,top
"LED135","LED_ARGB","LED_RGB_0606",260.248400,-59.385200,0.000000,top
"LED136","LED_ARGB","LED_RGB_0606",243.687600,-64.668400,0.000000,top
"LED137","LED_ARGB","LED_RGB_0606",247.700800,-64.617600,0.000000,top
"LED138","LED_ARGB","LED_RGB_0606",251.612400,-63.703200,0.000000,top
"LED139","LED_ARGB","LED_RGB_0606",255.625600,-63.754000,0.000000,top
"LED140","LED_ARGB","LED_RGB_0606",258.876800,-65.836800,0.000000,top
"LED141","LED_ARGB","LED_RGB_0606",262.636000,-66.192400,0.000000,top
"LED142","LED_ARGB","LED_RGB_0606",266.039600,-65.989200,0.000000,top
"LED143","LED_ARGB","LED_RGB_0606",269.697200,-63.449200,0.000000,top
"LED144","LED_ARGB","LED_RGB_0606",262.839200,-62.230000,0.000000,top
"LED145","LED_ARGB","LED_RGB_0606",230.987600,-88.950800,0.000000,top
"LED146","LED_ARGB","LED_RGB_0606",234.696000,-87.274400,0.000000,top
"LED147","LED_ARGB","LED_RGB_0606",238.404400,-85.902800,0.000000,top
"LED148","LED_ARGB","LED_RGB_0606",242.366800,-86.156800,0.000000,top
"LED149","LED_ARGB","LED_RGB_0606",246.075200,-85.344000,0.000000,top
"LED150","LED_ARGB","LED_RGB_0606",250.037600,-85.394800,0.000000,top
"LED151","LED_ARGB","LED_RGB_0606",254.000000,-85.750400,0.000000,top
"LED152","LED_ARGB","LED_RGB_0606",257.759200,-86.868000,0.000000,top
"LED153","LED_ARGB","LED_RGB_0606",261.416800,-88.087200,0.000000,top
"LED154","LED_ARGB","LED_RGB_0606",231.241600,-113.131600,0.000000,top
"LED155","LED_ARGB","LED_RGB_0606",235.204000,-113.233200,0.000000,top
"LED156","LED_ARGB","LED_RGB_0606",238.912400,-112.877600,0.000000,top
"LED157","LED_ARGB","LED_RGB_0606",242.925600,-112.725200,0.000000,top
"LED158","LED_ARGB","LED_RGB_0606",246.583200,-112.979200,0.000000,top
"LED159","LED_ARGB","LED_RGB_0606",250.342400,-113.792000,0.000000,top
"LED160","LED_ARGB","LED_RGB_0606",253.746000,-115.824000,0.000000,top
"LED161","LED_ARGB","LED_RGB_0606",256.641600,-118.516400,0.000000,top
"LED162","LED_ARGB","LED_RGB_0606",260.100000,-119.600000,0.000000,top
"LED163","LED_ARGB","LED_RGB_0606",261.162800,-54.406800,0.000000,top
"LED164","LED_ARGB","LED_RGB_0606",265.125200,-54.660800,0.000000,top
"LED165","LED_ARGB","LED_RGB_0606",268.071600,-57.404000,0.000000,top
"LED166","LED_ARGB","LED_RGB_0606",270.764000,-60.350400,0.000000,top
"LED167","LED_ARGB","LED_RGB_0606",273.354800,-63.296800,0.000000,top
"LED168","LED_ARGB","LED_RGB_0606",277.063200,-64.312800,0.000000,top
"LED169","LED_ARGB","LED_RGB_0606",280.974800,-64.922400,0.000000,top
"LED170","LED_ARGB","LED_RGB_0606",284.581600,-66.751200,0.000000,top
"LED171","LED_ARGB","LED_RGB_0606",286.613600,-70.053200,0.000000,top
"LED172","LED_ARGB","LED_RGB_0606",260.807200,-68.783200,0.000000,top
"LED173","LED_ARGB","LED_RGB_0606",260.705600,-72.745600,0.000000,top
"LED174","LED_ARGB","LED_RGB_0606",260.654800,-76.860400,0.000000,top
"LED175","LED_ARGB","LED_RGB_0606",260.553200,-80.772000,0.000000,top
"LED176","LED_ARGB","LED_RGB_0606",261.416800,-84.531200,0.000000,top
"LED177","LED_ARGB","LED_RGB_0606",260.908800,-92.354400,0.000000,top
"LED178","LED_ARGB","LED_RGB_0606",259.588000,-96.012000,0.000000,top
"LED179","LED_ARGB","LED_RGB_0606",259.892800,-99.669600,0.000000,top
"LED180","LED_ARGB","LED_RGB_0606",260.451600,-103.682800,0.000000,top
"LED181","LED_ARGB","LED_RGB_0606",262.585200,-107.137200,0.000000,top
"LED182","LED_ARGB","LED_RGB_0606",264.769600,-110.439200,0.000000,top
"LED183","LED_ARGB","LED_RGB_0606",266.750800,-113.792000,0.000000,top
"LED184","LED_ARGB","LED_RGB_0606",269.087600,-117.195600,0.000000,top
"LED185","LED_ARGB","LED_RGB_0606",271.373600,-120.548400,0.000000,top
"LED186","LED_ARGB","LED_RGB_0606",273.507200,-123.799600,0.000000,top
"LED187","LED_ARGB","LED_RGB_0606",276.352000,-126.441200,0.000000,top
"LED188","LED_ARGB","LED_RGB_0606",278.384000,-129.641600,0.000000,top
"LED189","LED_ARGB","LED_RGB_0606",278.587200,-133.654800,0.000000,top
"LED190","LED_ARGB","LED_RGB_0606",263.093200,-121.615200,0.000000,top
"LED191","LED_ARGB","LED_RGB_0606",266.039600,-124.358400,0.000000,top
"LED192","LED_ARGB","LED_RGB_0606",268.478000,-127.609600,0.000000,top
"LED193","LED_ARGB","LED_RGB_0606",270.967200,-130.454400,0.000000,top
