Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
LED206,LED_ARGB,LED_RGB_0606,295.1734,-163.8046,0.0,top
LED207,LED_ARGB,LED_RGB_0606,299.1358,-163.7538,0.0,top
LED208,LED_ARGB,LED_RGB_0606,278.2062,-137.4394,0.0,top
LED209,LED_ARGB,LED_RGB_0606,278.1554,-141.605,0.0,top
LED21,LED_ARGB,LED_RGB_0606,79.5274,-37.4142,0.0,top
LED210,LED_ARGB,LED_RGB_0606,280.6954,-144.2466,0.0,top
LED211,LED_ARGB,LED_RGB_0606,283.1846,-147.4978,0.0,top
LED212,LED_ARGB,LED_RGB_0606,286.7406,-149.1234,0.0,top
LED213,LED_ARGB,LED_RGB_0606,290.3982,-149.733,0.0,top
LED214,LED_ARGB,LED_RGB_0606,294.1066,-151.6126,0.0,top
LED215,LED_ARGB,LED_RGB_0606,296.8498,-154.5082,0.0,top
LED216,LED_ARGB,LED_RGB_0606,299.6438,-156.6418,0.0,top
LED217,LED_ARGB,LED_RGB_0606,303.657,-156.7434,0.0,top
LED218,LED_ARGB,LED_RGB_0606,307.6194,-157.4546,0.0,top
LED219,LED_ARGB,LED_RGB_0606,311.0738,-159.0802,0.0,top
LED22,LED_ARGB,LED_RGB_0606,83.2358,-38.8366,0.0,top
LED220,LED_ARGB,LED_RGB_0606,314.833,-160.2994,0.0,top
LED221,LED_ARGB,LED_RGB_0606,318.4906,-161.417,0.0,top
LED222,LED_ARGB,LED_RGB_0606,322.199,-162.1282,0.0,top
LED223,LED_ARGB,LED_RGB_0606,325.2978,-164.719,0.0,top
LED224,LED_ARGB,LED_RGB_0606,327.4822,-167.1574,0.0,top
LED225,LED_ARGB,LED_RGB_0606,331.6986,-167.2082,0.0,top
LED226,LED_ARGB,LED_RGB_0606,302.9458,-164.0586,0.0,top
LED227,LED_ARGB,LED_RGB_0606,307.0606,-164.0586,0.0,top
LED228,LED_ARGB,LED_RGB_0606,311.0738,-164.0586,0.0,top
LED229,LED_ARGB,LED_RGB_0606,314.9346,-164.0586,0.0,top
LED23,LED_ARGB,LED_RGB_0606,86.3854,-41.0718,0.0,top
LED230,LED_ARGB,LED_RGB_0606,318.4398,-165.3794,0.0,top
LED231,LED_ARGB,LED_RGB_0606,321.2846,-168.4274,0.0,top
LED232,LED_ARGB,LED_RGB_0606,323.1134,-171.9834,0.0,top
LED233,LED_ARGB,LED_RGB_0606,325.6534,-174.4726,0.0,top
LED234,LED_ARGB,LED_RGB_0606,328.0918,-177.6222,0.0,top
LED235,LED_ARGB,LED_RGB_0606,267.5382,-68.5546,0.0,top
LED236,LED_ARGB,LED_RGB_0606,270.129,-71.4502,0.0,top
